transaction_id,model,attributed_session_id,attributed_source,utm_source,utm_medium,utm_campaign,ref_domain
ORD-20250224-363,first_click,1740268999-k1PQxqt-fODp-1,utm_tagged,AF630F,7B4C8A,,
ORD-20250224-363,last_click,1740268999-k1PQxqt-fODp-1,utm_tagged,AF630F,7B4C8A,,
ORD-20250224-379,first_click,1740354406-05uJBqjzNLCr-1,google_ads,175C1C,7B4C8A,BD3937,
ORD-20250224-379,last_click,1740354406-05uJBqjzNLCr-1,google_ads,175C1C,7B4C8A,BD3937,
ORD-20250224-382,first_click,1740410100-6Pc-00Mf6SHj-1,other_referrer,,,,source-ee658ef2.com
ORD-20250224-382,last_click,1740410100-6Pc-00Mf6SHj-1,other_referrer,,,,source-ee658ef2.com
ORD-20250224-395,first_click,,direct,,,,
ORD-20250224-395,last_click,,direct,,,,
ORD-20250224-404,first_click,,direct,,,,
ORD-20250224-404,last_click,,direct,,,,
ORD-20250224-411,first_click,,direct,,,,
ORD-20250224-411,last_click,,direct,,,,
ORD-20250224-431,first_click,1740426329-uHYSiBnw3oSI-1,google_ads,175C1C,7B4C8A,F0454D,
ORD-20250224-431,last_click,1740426329-uHYSiBnw3oSI-1,google_ads,175C1C,7B4C8A,F0454D,
ORD-20250224-958,first_click,1740435325-OQW2KrRz-f87-1,google_ads,,,,
ORD-20250224-958,last_click,1740435325-OQW2KrRz-f87-1,google_ads,,,,
ORD-20250224-959,first_click,,direct,,,,
ORD-20250224-959,last_click,,direct,,,,
ORD-20250225-118,first_click,1740509552-1fvZUL45Eik0-1,google_ads,175C1C,7B4C8A,E495FD,
ORD-20250225-118,last_click,1740509552-1fvZUL45Eik0-1,google_ads,175C1C,7B4C8A,E495FD,
ORD-20250225-155,first_click,,direct,,,,
ORD-20250225-155,last_click,,direct,,,,
ORD-20250225-168,first_click,1736790828-mW3_FOMhXHNK-2,utm_tagged,3F8844,9A780E,7B0203,
ORD-20250225-168,last_click,1736790828-mW3_FOMhXHNK-2,utm_tagged,3F8844,9A780E,7B0203,
ORD-20250225-215,first_click,,direct,,,,
ORD-20250225-215,last_click,,direct,,,,
ORD-20250225-246,first_click,,direct,,,,
ORD-20250225-246,last_click,,direct,,,,
ORD-20250225-248,first_click,,direct,,,,
ORD-20250225-248,last_click,,direct,,,,
ORD-20250225-265,first_click,1738458171-9vJJikpUTOb1-1,utm_tagged,4CE5B2,9A780E,8F0DE1,
ORD-20250225-265,last_click,1738458171-9vJJikpUTOb1-2,utm_tagged,4CE5B2,9A780E,8F0DE1,
ORD-20250225-279,first_click,,direct,,,,
ORD-20250225-279,last_click,,direct,,,,
ORD-20250225-331,first_click,1740507907-PhSXNJEFjJgi-1,google_ads,175C1C,7B4C8A,B64CDF,
ORD-20250225-331,last_click,1740507907-PhSXNJEFjJgi-1,google_ads,175C1C,7B4C8A,B64CDF,
ORD-20250225-346,first_click,1740500274-pZRMdhL7Oatk-1,google_ads,,,,
ORD-20250225-346,last_click,1740500274-pZRMdhL7Oatk-1,google_ads,,,,
ORD-20250225-388,first_click,1740420503-CDX4af0XJcby-1,google_ads,175C1C,7B4C8A,324BB6,
ORD-20250225-388,last_click,1740420503-CDX4af0XJcby-2,google_ads,,,,
ORD-20250225-416,first_click,1740491267-r8TbUuojnRze-1,microsoft_ads,738AA8,AE24AC,A1ABA8,
ORD-20250225-416,last_click,1740491267-r8TbUuojnRze-1,microsoft_ads,738AA8,AE24AC,A1ABA8,
ORD-20250225-511,first_click,1740420503-CDX4af0XJcby-1,google_ads,175C1C,7B4C8A,324BB6,
ORD-20250225-511,last_click,1740420503-CDX4af0XJcby-2,google_ads,,,,
ORD-20250225-783,first_click,1737213027-8b0K2x6ACOek-1,utm_tagged,6C8EBC,DAFE40,B13F64,
ORD-20250225-783,last_click,1737213027-8b0K2x6ACOek-1,utm_tagged,6C8EBC,DAFE40,B13F64,
ORD-20250225-793,first_click,,direct,,,,
ORD-20250225-793,last_click,,direct,,,,
ORD-20250225-960,first_click,,direct,,,,
ORD-20250225-960,last_click,,direct,,,,
ORD-20250226-138,first_click,,direct,,,,
ORD-20250226-138,last_click,,direct,,,,
ORD-20250226-142,first_click,,direct,,,,
ORD-20250226-142,last_click,,direct,,,,
ORD-20250226-147,first_click,1740533061-59GXKhAICVW9-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250226-147,last_click,1740533061-59GXKhAICVW9-1,utm_tagged,AF630F,7B4C8A,,source-e34e0c2e.com
ORD-20250226-149,first_click,1740429626-KL7CIMnNyHr6-1,google_ads,,,,
